%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.transform.translation.x,field.transform.translation.y,field.transform.translation.z,field.transform.rotation.x,field.transform.rotation.y,field.transform.rotation.z,field.transform.rotation.w
1548944321931325608,68532,1548944321931325608,/world,vicon/target3/target3,-0.0545060667555,1.26495779892,0.0152268422105,-0.033210513329,0.0251046923637,0.130745208538,0.990541521931
1548944321936332967,68533,1548944321936332967,/world,vicon/target3/target3,-0.0545009817468,1.26490022105,0.0152535962232,-0.0367665134765,0.0244125242204,0.133577387029,0.990055217562
1548944321941316102,68534,1548944321941316102,/world,vicon/target3/target3,-0.0545864080862,1.2649368977,0.0152079859841,-0.0373989516661,0.0265522086835,0.133457778496,0.989992585824
1548944321946316659,68535,1548944321946316659,/world,vicon/target3/target3,-0.0544405735852,1.26485090566,0.015365992386,-0.0360518992499,0.0247245559869,0.134325747084,0.989972499902
1548944321951316409,68536,1548944321951316409,/world,vicon/target3/target3,-0.0545573620858,1.26494293259,0.0151910928827,-0.037823504867,0.0289074861994,0.132822481111,0.989995923342
1548944321956320757,68537,1548944321956320757,/world,vicon/target3/target3,-0.0546072695944,1.26493771315,0.0151964204591,-0.0363491811111,0.0251078118399,0.133206668356,0.990103185695
1548944321961329255,68538,1548944321961329255,/world,vicon/target3/target3,-0.0544179830504,1.26485439227,0.0154104336005,-0.0374753124836,0.0250917068094,0.134591896343,0.989874248904
1548944321966360180,68539,1548944321966360180,/world,vicon/target3/target3,-0.0546291929928,1.26495966429,0.0151317559982,-0.0373597123112,0.0260860388877,0.131904914082,0.990214554585
1548944321971177710,68540,1548944321971177710,/world,vicon/target3/target3,-0.0545640086079,1.26494328153,0.0151980054211,-0.0369613099497,0.0242930297359,0.132998583666,0.990128823445
1548944321976199459,68541,1548944321976199459,/world,vicon/target3/target3,-0.0546909968324,1.26471975882,0.0149178653382,-0.0465175462589,0.0387249853915,0.133834562321,0.989153579241
1548944321981220066,68542,1548944321981220066,/world,vicon/target3/target3,-0.0544260703987,1.26463462788,0.0149343230114,-0.0347394396149,0.0329584040869,0.1301693014,0.990334725186
1548944321986204128,68543,1548944321986204128,/world,vicon/target3/target3,-0.0544000211631,1.26462735293,0.0150141732972,-0.0376142889613,0.032687941349,0.130039232055,0.990255755794
1548944321991209508,68544,1548944321991209508,/world,vicon/target3/target3,-0.0544720933562,1.2646488716,0.0149330456571,-0.0348525223051,0.0333554425824,0.129772977769,0.990369471652
